age,sex,act.level,eer
55,f,veryact,2956.0355999999992
56,f,veryact,2949.1255999999994
57,f,veryact,2942.2155999999995
58,f,veryact,2935.3055999999997
59,f,veryact,2928.3955999999994
60,f,veryact,2921.4855999999995
61,f,veryact,2914.5755999999997
62,f,veryact,2907.6655999999994
63,f,veryact,2900.7555999999995
64,f,veryact,2893.8455999999996
65,f,veryact,2886.9355999999993
66,f,veryact,2880.0255999999995
67,f,veryact,2873.1155999999996
68,f,veryact,2866.2055999999993
69,f,veryact,2859.2955999999995
70,f,veryact,2852.3855999999996
71,f,veryact,2845.4755999999993
72,f,veryact,2838.5655999999994
73,f,veryact,2831.6555999999996
74,f,veryact,2824.7455999999993
75,f,veryact,2817.8355999999994
76,f,veryact,2810.9255999999996
77,f,veryact,2804.0155999999997
78,f,veryact,2797.1055999999994
79,f,veryact,2790.1955999999996
80,f,veryact,2783.2855999999992
80.2,f,sed,2014.21
80.3,f,sed,2126.21
80.6,f,sed,2004.21
80.12,f,sed,2074.21
80.2,f,lowact,2193.922
80.3,f,lowact,2305.922
80.6,f,lowact,2183.922
80.12,f,lowact,2253.922
80.2,f,act,2373.634
80.3,f,act,2485.634
80.6,f,act,2363.634
80.12,f,act,2433.634
80.2,f,veryact,2594.818
80.3,f,veryact,2706.818
80.6,f,veryact,2584.818
80.12,f,veryact,2654.818
